"","model","cutpoint","sens","sens.lcl","sens.ucl","spec","spec.lcl","spec.ucl","auc","auc.lcl","auc.ucl","FN","FP","TP","TN","mcc","Gene","Scenario"
"371","SiftScore",0,0.8625,0.770328999330134,0.921452856756609,0.762820512820513,0.690261705886353,0.82274662502475,0.83056891025641,0.782393323192752,0.878744497320069,11,37,69,119,0.595093709129269,"BRCA1",2
"28","Polyphen2HvarRankscore",0.91584,0.813559322033898,0.696210495530373,0.892572780579947,0.830508474576271,0.768356820398566,0.878618716975342,0.887292923489419,0.844904874150335,0.929680972828503,11,30,48,147,0.592882155443582,"BRCA1",1
"29","Polyphen2HvarScore",0.999,0.813559322033898,0.696210495530373,0.892572780579947,0.830508474576271,0.768356820398566,0.878618716975342,0.887292923489419,0.844904874150335,0.929680972828503,11,30,48,147,0.592882155443582,"BRCA1",1
"323","Vest3Rankscore",0.7831,0.793478260869565,0.699821860863966,0.863608628033603,0.798245614035088,0.715417130547684,0.861629357848796,0.858171243325706,0.805976954335904,0.910365532315508,19,23,73,91,0.589703184171652,"BRCA2",2
"333","Vest3Score",0.793,0.793478260869565,0.699821860863966,0.863608628033603,0.798245614035088,0.715417130547684,0.861629357848796,0.858171243325706,0.805976954335904,0.910365532315508,19,23,73,91,0.589703184171652,"BRCA2",2
"94","NewRFModel",0.427,0.793478260869565,0.699821860863966,0.863608628033603,0.789473684210526,0.705827530550671,0.854247002304737,0.870661708619375,0.821302727795293,0.920020689443456,19,24,73,90,0.58060394040295,"BRCA2",2
"134","NewRFModel",0.427,0.793478260869565,0.699821860863966,0.863608628033603,0.789473684210526,0.705827530550671,0.854247002304737,0.870661708619375,0.821302727795293,0.920020689443456,19,24,73,90,0.58060394040295,"BRCA2",2
"141","MetasvmRankscore",0.8874,0.8,0.699537562718292,0.872971559560392,0.801282051282051,0.731758375065298,0.856324345735234,0.856370192307692,0.803953268004593,0.908787116610792,16,31,64,125,0.580382319374108,"BRCA1",2
"151","MetasvmScore",0.3759,0.8,0.699537562718292,0.872971559560392,0.801282051282051,0.731758375065298,0.856324345735234,0.856370192307692,0.803953268004593,0.908787116610792,16,31,64,125,0.580382319374108,"BRCA1",2
"261","Polyphen2HdivRankscore",0.89865,0.85,0.755867714386767,0.912059594938365,0.756410256410256,0.683418838733485,0.817077093862712,0.827363782051282,0.77812929530749,0.876598268795074,12,38,68,118,0.57709753853028,"BRCA1",2
"271","Polyphen2HdivScore",1,0.85,0.755867714386767,0.912059594938365,0.756410256410256,0.683418838733485,0.817077093862712,0.827363782051282,0.77812929530749,0.876598268795074,12,38,68,118,0.57709753853028,"BRCA1",2
"281","Polyphen2HvarRankscore",0.85043,0.7875,0.685778442694033,0.862876132823039,0.807692307692308,0.738754013665459,0.861841105449978,0.87119391025641,0.821975910984517,0.920411909528304,17,30,63,126,0.57657407294639,"BRCA1",2
"291","Polyphen2HvarScore",0.997,0.7875,0.685778442694033,0.862876132823039,0.807692307692308,0.738754013665459,0.861841105449978,0.87119391025641,0.821975910984517,0.920411909528304,17,30,63,126,0.57657407294639,"BRCA1",2
"101","GerpRs",4.83,0.7875,0.685778442694033,0.862876132823039,0.801282051282051,0.731758375065298,0.856324345735234,0.822516025641026,0.763563706262917,0.881468345019134,17,31,63,125,0.569316480598401,"BRCA1",2
"111","GerpRsRankscore",0.61659,0.7875,0.685778442694033,0.862876132823039,0.801282051282051,0.731758375065298,0.856324345735234,0.822516025641026,0.763563706262917,0.881468345019134,17,31,63,125,0.569316480598401,"BRCA1",2
"145","MetasvmRankscore",0.9083,0.813559322033898,0.696210495530373,0.892572780579947,0.807909604519774,0.743581553444609,0.859156340348177,0.885952312553864,0.84412491659778,0.927779708509948,11,34,48,143,0.565151352385685,"BRCA1",1
"155","MetasvmScore",0.5201,0.813559322033898,0.696210495530373,0.892572780579947,0.807909604519774,0.743581553444609,0.859156340348177,0.885952312553864,0.84412491659778,0.927779708509948,11,34,48,143,0.565151352385685,"BRCA1",1
"361","LrtConvertedRankscore",0.38483,0.7875,0.685778442694033,0.862876132823039,0.788461538461538,0.717838210577854,0.845219713592868,0.844110576923077,0.792808927005595,0.895412226840559,17,33,63,123,0.555010425849999,"BRCA1",2
"391","LrtScore",0.001618,0.7875,0.685778442694033,0.862876132823039,0.788461538461538,0.717838210577854,0.845219713592868,0.841426282051282,0.788314361480841,0.894538202621723,17,33,63,123,0.555010425849999,"BRCA1",2
"162","MetasvmRankscore",0.93181,0.788732394366197,0.680250217837942,0.867574485823009,0.785185185185185,0.708526992138211,0.846062398192534,0.872300469483568,0.822634380797169,0.921966558169967,15,29,56,106,0.554042956790443,"BRCA2",1
"172","MetasvmScore",0.7002,0.788732394366197,0.680250217837942,0.867574485823009,0.785185185185185,0.708526992138211,0.846062398192534,0.872300469483568,0.822634380797169,0.921966558169967,15,29,56,106,0.554042956790443,"BRCA2",1
"115","MetalrRankscore",0.91514,0.771739130434783,0.6761168171795,0.84557807994788,0.771929824561403,0.686791544138177,0.839339077635085,0.840675057208238,0.787144385708476,0.894205728708,21,26,71,88,0.541479173728758,"BRCA2",2
"123","MetalrScore",0.751,0.771739130434783,0.6761168171795,0.84557807994788,0.771929824561403,0.686791544138177,0.839339077635085,0.840675057208238,0.787144385708476,0.894205728708,21,26,71,88,0.541479173728758,"BRCA2",2
"31","SiftConvertedRankscore",0.91219,0.915254237288136,0.816482047325897,0.963257966982363,0.706214689265537,0.635302970188752,0.768365527488986,0.828353921286986,0.785736439812079,0.870971402761894,5,52,54,125,0.541012686225555,"BRCA1",1
"35","SiftScore",0,0.915254237288136,0.816482047325897,0.963257966982363,0.706214689265537,0.635302970188752,0.768365527488986,0.828353921286986,0.785736439812079,0.870971402761894,5,52,54,125,0.541012686225555,"BRCA1",1
"142","MetalrRankscore",0.92107,0.774647887323944,0.664848244020012,0.856253303364795,0.777777777777778,0.700513627323394,0.839670843777981,0.871465832029212,0.821831100207406,0.921100563851019,16,30,55,105,0.533295301982438,"BRCA2",1
"152","MetalrScore",0.7679,0.774647887323944,0.664848244020012,0.856253303364795,0.777777777777778,0.700513627323394,0.839670843777981,0.871465832029212,0.821831100207406,0.921100563851019,16,30,55,105,0.533295301982438,"BRCA2",1
"352","Vest3Rankscore",0.79963,0.774647887323944,0.664848244020012,0.856253303364795,0.777777777777778,0.700513627323394,0.839670843777981,0.833176838810642,0.774698342103858,0.891655335517425,16,30,55,105,0.533295301982438,"BRCA2",1
"362","Vest3Score",0.811,0.774647887323944,0.664848244020012,0.856253303364795,0.777777777777778,0.700513627323394,0.839670843777981,0.833176838810642,0.774698342103858,0.891655335517425,16,30,55,105,0.533295301982438,"BRCA2",1
"26","Polyphen2HdivRankscore",0.89865,0.898305084745763,0.795361863737675,0.952552027537595,0.700564971751412,0.629415138415384,0.763193948367073,0.822464808962942,0.779231184943128,0.865698432982756,6,53,53,124,0.521339497635535,"BRCA1",1
"27","Polyphen2HdivScore",1,0.898305084745763,0.795361863737675,0.952552027537595,0.700564971751412,0.629415138415384,0.763193948367073,0.822464808962942,0.779231184943128,0.865698432982756,6,53,53,124,0.521339497635535,"BRCA1",1
"105","GerpRs",5.06,0.796610169491525,0.677319877279501,0.879637275797828,0.779661016949153,0.713020574860883,0.834420264455501,0.819783587091832,0.759081657952473,0.880485516231191,12,39,47,138,0.518495139130856,"BRCA1",1
"119","GerpRsRankscore",0.67646,0.796610169491525,0.677319877279501,0.879637275797828,0.779661016949153,0.713020574860883,0.834420264455501,0.819783587091832,0.759081657952473,0.880485516231191,12,39,47,138,0.518495139130856,"BRCA1",1
"37","LrtConvertedRankscore",0.41015,0.796610169491525,0.677319877279501,0.879637275797828,0.779661016949153,0.713020574860883,0.834420264455501,0.841424877908647,0.791201885743449,0.891647870073845,12,39,47,138,0.518495139130856,"BRCA1",1
"39","LrtScore",0.000926,0.796610169491525,0.677319877279501,0.879637275797828,0.779661016949153,0.713020574860883,0.834420264455501,0.842334578186345,0.791995924553433,0.892673231819257,12,39,47,138,0.518495139130856,"BRCA1",1
"273","Polyphen2HvarRankscore",0.97092,0.728260869565217,0.629581470079452,0.808642243507547,0.789473684210526,0.705827530550671,0.854247002304737,0.823560259344012,0.770458109141915,0.87666240954611,25,24,67,90,0.518303180584992,"BRCA2",2
"283","Polyphen2HvarScore",1,0.728260869565217,0.629581470079452,0.808642243507547,0.789473684210526,0.705827530550671,0.854247002304737,0.823560259344012,0.770458109141915,0.87666240954611,25,24,67,90,0.518303180584992,"BRCA2",2
"181","MutationtasterConvertedRankscore",0.81033,0.975,0.91335567014422,0.993117106797029,0.551282051282051,0.472935723971265,0.627163462547975,0.768509615384615,0.72738737049274,0.80963186027649,2,70,78,86,0.515173668925256,"BRCA1",2
"301","ProveanConvertedRankscore",0.65469,0.7625,0.658592210661594,0.842353271332254,0.769230769230769,0.697124498024712,0.828396231201295,0.868309294871795,0.823689614668089,0.9129289750755,19,36,61,120,0.51157088250534,"BRCA1",2
"302","Polyphen2HvarRankscore",0.97092,0.788732394366197,0.680250217837942,0.867574485823009,0.740740740740741,0.660882754519734,0.807277120434791,0.809702660406886,0.756933360005073,0.862471960808699,15,35,56,100,0.506722713453277,"BRCA2",1
"313","Polyphen2HvarScore",1,0.788732394366197,0.680250217837942,0.867574485823009,0.740740740740741,0.660882754519734,0.807277120434791,0.809702660406886,0.756933360005073,0.862471960808699,15,35,56,100,0.506722713453277,"BRCA2",1
"210","CaddPhred",24.8,0.7625,0.658592210661594,0.842353271332254,0.762820512820513,0.690261705886353,0.82274662502475,0.838261217948718,0.785334352465453,0.891188083431983,19,37,61,119,0.504636978323427,"BRCA1",2
"310","CaddRaw",4.809989,0.7625,0.658592210661594,0.842353271332254,0.762820512820513,0.690261705886353,0.82274662502475,0.838221153846154,0.785281872738345,0.891160434953963,19,37,61,119,0.504636978323427,"BRCA1",2
"41","CaddRawRankscore",0.64548,0.7625,0.658592210661594,0.842353271332254,0.762820512820513,0.690261705886353,0.82274662502475,0.838221153846154,0.785281872738345,0.891160434953963,19,37,61,119,0.504636978323427,"BRCA1",2
"30","ProveanConvertedRankscore",0.69906,0.779661016949153,0.658673006323629,0.86645802372071,0.779661016949153,0.713020574860883,0.834420264455501,0.874221966867758,0.82810759478061,0.920336338954906,13,39,46,138,0.504517959680373,"BRCA1",1
"253","Polyphen2HdivRankscore",0.89865,0.956521739130435,0.893483143447011,0.982964283726986,0.508771929824561,0.418224097904579,0.598747857636494,0.736556064073226,0.686364448890895,0.786747679255558,4,56,88,58,0.504308620433817,"BRCA2",2
"263","Polyphen2HdivScore",1,0.956521739130435,0.893483143447011,0.982964283726986,0.508771929824561,0.418224097904579,0.598747857636494,0.736556064073226,0.686364448890895,0.786747679255558,4,56,88,58,0.504308620433817,"BRCA2",2
"133","MetasvmRankscore",0.92273,0.75,0.652711858782475,0.827247446574714,0.754385964912281,0.667934047346671,0.824252663344445,0.845585430968726,0.79336953740542,0.897801324532032,23,28,69,86,0.502354407054565,"BRCA2",2
"143","MetasvmScore",0.6284,0.75,0.652711858782475,0.827247446574714,0.754385964912281,0.667934047346671,0.824252663344445,0.845585430968726,0.79336953740542,0.897801324532032,23,28,69,86,0.502354407054565,"BRCA2",2
"43","Condel_score",0.857,0.746835443037975,0.64105740562726,0.829721363303082,0.755102040816326,0.661408890322578,0.82955029839085,0.812064066132782,0.749894068215431,0.874234064050133,20,24,59,74,0.500003724961492,"BRCA2",2
"184","NewVoteModel-Training",3,0.818181818181818,0.656117683653301,0.913892317910593,0.714285714285714,0.599498034182797,0.806777796212802,0.896103896103896,0.828940766950114,0.963267025257679,6,20,27,50,0.49883415179152,"BRCA2",1
"221","Phastcons20wayMammalianRankscore",0.47504,0.7625,0.658592210661594,0.842353271332254,0.743589743589744,0.669790832378018,0.80568030358837,0.817508012820513,0.764977985447659,0.870038040193366,19,40,61,116,0.484180458688629,"BRCA1",2
"121","MetalrRankscore",0.89743,0.75,0.64515325380766,0.831937681424576,0.75,0.676595376238703,0.811388158042589,0.828485576923077,0.773042381744124,0.88392877210203,20,39,60,117,0.479622353837241,"BRCA1",2
"131","MetalrScore",0.7019,0.75,0.64515325380766,0.831937681424576,0.75,0.676595376238703,0.811388158042589,0.828485576923077,0.773042381744124,0.88392877210203,20,39,60,117,0.479622353837241,"BRCA1",2
"303","SiftConvertedRankscore",0.91219,0.847826086956522,0.760634871024482,0.907134597298564,0.62280701754386,0.531202185855044,0.706405191719978,0.760059115179253,0.704779627534548,0.815338602823957,14,43,78,71,0.47525496611923,"BRCA2",2
